word	spam	ham	P(w_i|S)	P(w_i|H)
spam count: 748	ham count: 4825
Sympathetic	0	1	0.0	0.00020725388601
raining	0	4	0.0	0.000829015544041
'Melle	0	3	0.0	0.000621761658031
EXPLAIN	0	1	0.0	0.00020725388601
1,2	2	0	0.00267379679144	0.0
yellow	0	1	0.0	0.00020725388601
Sugar	0	1	0.0	0.00020725388601
four	1	1	0.00133689839572	0.00020725388601
1,,	0	2	0.0	0.000414507772021
Does	0	9	0.0	0.00186528497409
sending.	0	1	0.0	0.00020725388601
friend's	0	3	0.0	0.000621761658031
hanging	0	3	0.0	0.000621761658031
STATION.	0	1	0.0	0.00020725388601
(And	0	1	0.0	0.00020725388601
Until	0	1	0.0	0.00020725388601
apology	0	1	0.0	0.00020725388601
AGES..RING	0	1	0.0	0.00020725388601
increase	0	1	0.0	0.00020725388601
hostel.	0	1	0.0	0.00020725388601
LAST	0	3	0.0	0.000621761658031
Thanx...	0	1	0.0	0.00020725388601
electricity	0	2	0.0	0.000414507772021
dinner?,,	0	5	0.0	0.00103626943005
scold	0	2	0.0	0.000414507772021
Dear..:),,	0	1	0.0	0.00020725388601
WEN	0	3	0.0	0.000621761658031
research?,,	0	2	0.0	0.000414507772021
write,,	0	1	0.0	0.00020725388601
SPK	0	2	0.0	0.000414507772021
50\,,	1	0	0.00133689839572	0.0
hour.,,	0	1	0.0	0.00020725388601
Y?WHERE	0	1	0.0	0.00020725388601
remove.,,	0	1	0.0	0.00020725388601
huh...,,	0	1	0.0	0.00020725388601
callin	0	2	0.0	0.000414507772021
smsing	0	1	0.0	0.00020725388601
Student:	0	1	0.0	0.00020725388601
sufficient	1	0	0.00133689839572	0.0
advice.	0	1	0.0	0.00020725388601
hearin	0	1	0.0	0.00020725388601
semiobscure	0	1	0.0	0.00020725388601
bringing	1	3	0.00133689839572	0.000621761658031
is-	0	1	0.0	0.00020725388601
disturb	0	9	0.0	0.00186528497409
patent.,,	0	1	0.0	0.00020725388601
k,,	0	2	0.0	0.000414507772021
Classic	1	0	0.00133689839572	0.0
å£2,000	11	0	0.0147058823529	0.0
lor,	0	7	0.0	0.00145077720207
Nasdaq	2	0	0.00267379679144	0.0
lor.	0	45	0.0	0.00932642487047
StdTxtRate.	1	0	0.00133689839572	0.0
texts.	0	2	0.0	0.000414507772021
seven.	0	2	0.0	0.000414507772021
What‰Û÷s	0	1	0.0	0.00020725388601
NO.	1	1	0.00133689839572	0.00020725388601
spoken.	0	1	0.0	0.00020725388601
specially	9	0	0.0120320855615	0.0
ass,,	0	1	0.0	0.00020725388601
tired	0	9	0.0	0.00186528497409
FreeMsg:	4	0	0.00534759358289	0.0
BED	0	2	0.0	0.000414507772021
her:	5	0	0.00668449197861	0.0
second	0	12	0.0	0.00248704663212
08718720201	5	0	0.00668449197861	0.0
her?	0	1	0.0	0.00020725388601
rr..,,	0	1	0.0	0.00020725388601
14thMarch.	1	0	0.00133689839572	0.0
scraped	0	1	0.0	0.00020725388601
dartboard.	1	0	0.00133689839572	0.0
å£200	9	0	0.0120320855615	0.0
FINEST,	1	0	0.00133689839572	0.0
ENG	4	0	0.00534759358289	0.0
fingers	0	3	0.0	0.000621761658031
Companion	0	1	0.0	0.00020725388601
maraikara	0	1	0.0	0.00020725388601
Wrong	0	1	0.0	0.00020725388601
plan?,,	0	5	0.0	0.00103626943005
day:)except	0	1	0.0	0.00020725388601
CRAZYIN,	1	0	0.00133689839572	0.0
fun,,	0	3	0.0	0.000621761658031
pants.,,	0	1	0.0	0.00020725388601
KAVALAN	0	2	0.0	0.000414507772021
TONE	12	0	0.0160427807487	0.0
xxx\,,	0	2	0.0	0.000414507772021
error	1	0	0.00133689839572	0.0
how've	0	1	0.0	0.00020725388601
here	3	61	0.00401069518717	0.0126424870466
specialise	0	1	0.0	0.00020725388601
47	1	0	0.00133689839572	0.0
china	0	2	0.0	0.000414507772021
dogwood	0	1	0.0	0.00020725388601
dorm	0	1	0.0	0.00020725388601
Stop2	1	0	0.00133689839572	0.0
Wld	0	1	0.0	0.00020725388601
ful	0	2	0.0	0.000414507772021
84122	1	0	0.00133689839572	0.0
argh	0	1	0.0	0.00020725388601
kids	0	3	0.0	0.000621761658031
mate!!,,	0	1	0.0	0.00020725388601
NOK	2	0	0.00267379679144	0.0
k	0	11	0.0	0.00227979274611
dear..slp	0	2	0.0	0.000414507772021
eating?,,	0	1	0.0	0.00020725388601
sooner.	0	1	0.0	0.00020725388601
N	0	6	0.0	0.00124352331606
i'd	0	6	0.0	0.00124352331606
UNDERSTaND	0	1	0.0	0.00020725388601
Swayze	0	1	0.0	0.00020725388601
NOT	0	9	0.0	0.00186528497409
i'm	0	91	0.0	0.0188601036269
NOW	18	4	0.024064171123	0.000829015544041
course...	0	1	0.0	0.00020725388601
MATCHED	1	0	0.00133689839572	0.0
SERVICES.	3	0	0.00401069518717	0.0
golden	0	1	0.0	0.00020725388601
dream.love	0	1	0.0	0.00020725388601
heavy...	0	1	0.0	0.00020725388601
4thNOV.BEHIND	0	1	0.0	0.00020725388601
replace	0	2	0.0	0.000414507772021
sea,,	0	5	0.0	0.00103626943005
sterm	0	1	0.0	0.00020725388601
perfect!,,	0	1	0.0	0.00020725388601
txt	68	6	0.0909090909091	0.00124352331606
SHOWR,,	0	1	0.0	0.00020725388601
well!,,	0	1	0.0	0.00020725388601
common.	0	1	0.0	0.00020725388601
frosty	0	1	0.0	0.00020725388601
spoke	0	4	0.0	0.000829015544041
careabout	0	1	0.0	0.00020725388601
browse	1	0	0.00133689839572	0.0
2wks.	0	1	0.0	0.00020725388601
TELLMISS	0	1	0.0	0.00020725388601
apologetic.	0	1	0.0	0.00020725388601
GOODNOON:),,	0	1	0.0	0.00020725388601
dnt	0	11	0.0	0.00227979274611
live.,,	0	1	0.0	0.00020725388601
music	2	3	0.00267379679144	0.000621761658031
passport	0	1	0.0	0.00020725388601
strike	0	2	0.0	0.000414507772021
until	5	21	0.00668449197861	0.00435233160622
pop.	0	1	0.0	0.00020725388601
paperwork	0	1	0.0	0.00020725388601
happend?,,	0	3	0.0	0.000621761658031
holy	0	1	0.0	0.00020725388601
9.	0	5	0.0	0.00103626943005
successful	0	3	0.0	0.000621761658031
brings	1	7	0.00133689839572	0.00145077720207
Okay.	0	2	0.0	0.000414507772021
hols	0	1	0.0	0.00020725388601
yahoo	0	6	0.0	0.00124352331606
hurt	0	17	0.0	0.00352331606218
DOIN?	0	2	0.0	0.000414507772021
glass	0	1	0.0	0.00020725388601
uni?	0	1	0.0	0.00020725388601
9?	0	1	0.0	0.00020725388601
weight.,,	0	2	0.0	0.000414507772021
yijue@hotmail.com,,	0	1	0.0	0.00020725388601
hold	0	13	0.0	0.00269430051813
Grazed	0	1	0.0	0.00020725388601
K.k:)i'm	0	1	0.0	0.00020725388601
forgiveness?\	0	1	0.0	0.00020725388601
tirupur	0	1	0.0	0.00020725388601
applying,	0	1	0.0	0.00020725388601
å£750	1	0	0.00133689839572	0.0
Text	39	3	0.0521390374332	0.000621761658031
it:),,	0	1	0.0	0.00020725388601
\Checkmate\	0	1	0.0	0.00020725388601
church..	0	3	0.0	0.000621761658031
itself	0	3	0.0	0.000621761658031
Boys.	1	0	0.00133689839572	0.0
once.,,	0	1	0.0	0.00020725388601
Euro	1	0	0.00133689839572	0.0
wana	0	10	0.0	0.0020725388601
Reminder:	1	0	0.00133689839572	0.0
pints	0	1	0.0	0.00020725388601
Lk	0	1	0.0	0.00020725388601
3,Wife:	0	3	0.0	0.000621761658031
